"filename", "language", "C++", "HTML", "JSON", "Markdown", "YAML", "Dart", "Shell Script", "Swift", "XML", "Gradle", "Java Properties", "Kotlin", "comment", "blank", "total"
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 9, 9, 52
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\google-services.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 11, 3, 65
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\src\main\kotlin\com\example\dramatic_outputs\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 5, 29
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\firebase.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
